state,YYYY-MM-DD,daily_rain,max_temp,min_temp,radiation,rh_tmax,rh_tmin
NSW,2018-01-01,0.48,30.72,16.57,29.07,42.7,92.71
NSW,2018-01-02,1.15,29.93,16.26,24.79,43.5,90.91
NSW,2018-01-03,4.55,27.61,15.18,25.36,44.81,87.45
NSW,2018-01-04,0.41,29.14,15.08,27.84,38.63,85.57
NSW,2018-01-05,0.06,32.24,15.08,30.42,34.35,89.22
NSW,2018-01-06,0.0,36.05,17.17,30.77,30.7,85.02
NSW,2018-01-07,0.07,38.96,20.15,28.92,25.13,69.82
NSW,2018-01-08,0.77,34.74,21.03,20.36,36.12,78.12
NSW,2018-01-09,5.53,31.52,19.9,19.55,46.27,88.26
NSW,2018-01-10,4.81,28.83,16.37,22.92,45.09,89.06
NSW,2018-01-11,0.99,30.93,17.94,21.13,42.48,86.96
NSW,2018-01-12,2.66,34.61,19.62,22.6,40.88,89.49
NSW,2018-01-13,3.91,29.06,20.27,17.83,50.99,83.37
NSW,2018-01-14,4.14,24.04,13.19,27.29,38.53,74.57
NSW,2018-01-15,0.52,26.62,11.75,28.0,32.56,78.39
NSW,2018-01-16,0.05,26.63,13.76,28.45,33.23,70.94
NSW,2018-01-17,0.02,28.82,12.35,30.64,29.56,77.21
NSW,2018-01-18,0.02,32.66,12.18,30.68,25.06,78.8
NSW,2018-01-19,0.0,35.69,13.93,30.4,22.98,74.63
NSW,2018-01-20,0.0,36.33,15.24,29.61,22.28,67.65
NSW,2018-01-21,0.04,35.65,17.03,28.55,27.59,71.32
NSW,2018-01-22,0.06,35.66,19.23,22.46,29.89,72.91
NSW,2018-01-23,0.11,34.91,20.87,20.89,34.07,72.14
NSW,2018-01-24,0.96,32.62,20.11,18.92,39.7,79.02
NSW,2018-01-25,0.87,32.29,20.21,18.76,44.84,86.33
NSW,2018-01-26,3.85,33.18,19.63,22.88,45.18,93.17
NSW,2018-01-27,3.0,31.8,20.4,21.65,49.33,90.74
NSW,2018-01-28,2.43,31.6,20.96,21.77,50.38,89.8
NSW,2018-01-29,2.54,31.91,19.49,26.55,43.51,87.52
NSW,2018-01-30,0.76,30.69,18.2,20.76,46.36,90.59
NSW,2018-01-31,3.32,25.2,15.71,17.98,50.32,84.5
NSW,2018-02-01,1.41,23.36,13.54,16.75,40.63,73.12
NSW,2018-02-02,2.63,23.27,13.2,15.99,50.24,88.93
NSW,2018-02-03,2.31,25.98,14.12,21.8,45.53,89.49
