station_name,station_id,state
Adelong (Tumut St),72000,NSW
Albion Park (Shellharbour Airport),68241,NSW
Albury Airport,72146,NSW
Albury Airport Aws,72160,NSW
Albury Grammar School,72059,NSW
Albury Pumping Station,72097,NSW
Alstonville Tropical Fruit Research Stat,58131,NSW
Ardlethan Post Office,74000,NSW
Armidale (Radio Station 2ad),56002,NSW
Armidale (Tree Group Nursery),56037,NSW
Armidale Airport Aws,56238,NSW
Badgerys Creek Aws,67108,NSW
Badgerys Creek Mcmasters F.Stn,67068,NSW
Ballina Airport Aws,58198,NSW
Balranald (Rsl),49002,NSW
Bankstown Airport Aws,66137,NSW
Baradine Forestry,53002,NSW
Barraba (Clifton Lane),54003,NSW
Batemans Bay (Catalina Country Club),69134,NSW
Bathurst Agricultural Station,63005,NSW
Bathurst Airport Aws,63291,NSW
Bathurst Gaol,63004,NSW
Bega (Newtown Road),69002,NSW
Bega Aws,69139,NSW
Bellambi Aws,68228,NSW
Bellangry State Forest 524,60000,NSW
Bellingen (The Observatory),59094,NSW
Bellingen Post Office,59001,NSW
Bendora Dam,70316,NSW
Berrigan Post Office,74009,NSW
Bingara Post Office,54004,NSW
Black Springs Forestry,63087,NSW
Blayney Post Office,63010,NSW
Bombala (Therry Street),70005,NSW
Bombala Aws,70328,NSW
Bonshaw (Monkstadt),56041,NSW
Boorowa Post Office,70220,NSW
Bourke Airport,48239,NSW
Bourke Airport Aws,48245,NSW
Bourke Post Office,48013,NSW
Bowral (Parry Drive),68102,NSW
Bowral Post Office,68005,NSW
Braidwood (Monkittee Street),69010,NSW
Braidwood Racecourse Aws,69132,NSW
Brewarrina Hospital,48015,NSW
Broadwater Sugar Mill,58065,NSW
Broken Hill (Patton Street),47007,NSW
Broken Hill (Stephens Creek Reservoir),47031,NSW
Broken Hill Airport Aws,47048,NSW
Broken Hill Rfds,47102,NSW
Brookfield Forest Station,72009,NSW
Brooklana (Bobo Nursery),59004,NSW
Bundarra Post Office,56006,NSW
Burrinjuck Dam,73007,NSW
Byron Bay (Cape Byron Aws),58216,NSW
Byron Bay (Cape Byron Lighthouse),58009,NSW
Cabramurra Smhea,71030,NSW
Cabramurra Smhea,72091,NSW
Cabramurra Smhea Aws,72161,NSW
Camden Airport Aws,68192,NSW
Campbells Hill,61008,NSW
